TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627847639241211,0.0,0.86,0.14,0.0,0.292119405821428
39627847639241208,0.0,0.04,0.89,0.07,0.3019692958352992
39627835568033352,0.0,0.65,0.35,0.0,0.4670340276877455
39627865754440866,0.0,0.64,0.36,0.0,0.4713415946277461
39627811408843265,0.0,0.64,0.36,0.0,0.4713415946277461
39627811408843098,0.0,0.25,0.75,0.0,0.4056390622295664
39627865754440547,0.0,0.58,0.42,0.0,0.49072694751682683
39627865754440389,0.0,0.07,0.93,0.0,0.18296182545011158
39627865758633345,0.0,0.0,0.95,0.05,0.14319847855797813
39627871785846439,0.0,0.73,0.27,0.0,0.42073231810408784
39627847643432442,0.0,0.84,0.16,0.0,0.3171547773202831
39627829503070369,0.0,0.56,0.44,0.0,0.4947937606110278
39627829503070104,0.0,0.78,0.22,0.0,0.38008375148098283
39627859718835877,0.0,0.01,0.99,0.0,0.04039656794795559
39627829503070166,0.0,0.92,0.08,0.0,0.2010895951011364
39627829503070491,0.0,0.12,0.88,0.0,0.2646804326436822
39627823496823099,0.01,0.98,0.01,0.0,0.08072027127091033
39627817448636679,0.0,0.11,0.89,0.0,0.249957979082264
39627835555449636,0.0,0.0,0.95,0.05,0.14319847855797813
39627811387871011,0.0,1.0,0.0,0.0,-0.0
39627859727221968,0.0,0.99,0.01,0.0,0.04039656794795559
39627811417231591,0.0,0.23,0.77,0.0,0.38900565177326885
39627817461221608,0.0,0.74,0.26,0.0,0.4133731862463089
39627817461221672,0.0,0.32,0.68,0.0,0.45219072886224687
39627859727221969,0.0,0.05,0.95,0.0,0.14319847855797813
39627829519847140,0.0,0.47,0.53,0.0,0.4987007942838698
39627817448636611,0.0,0.02,0.98,0.0,0.07072027127091034
39627853666455398,0.0,0.62,0.38,0.0,0.47902101111314976
39627811396261207,0.0,0.01,0.99,0.0,0.04039656794795559
39627835551252842,0.0,0.72,0.28,0.0,0.4277254052800653
39627859739804643,0.0,0.99,0.01,0.0,0.04039656794795559
39627853687425767,0.0,0.01,0.97,0.02,0.11097036642660543
39627847639241489,0.0,0.47,0.53,0.0,0.4987007942838698
39627871777458448,0.0,0.04,0.96,0.0,0.12114609454120741
39627811396261407,0.0,0.26,0.74,0.0,0.4133731862463089
39627853674841680,0.0,0.54,0.46,0.0,0.49768921941011285
39627823505214303,0.0,0.0,0.98,0.02,0.07072027127091034
39627817461221528,0.0,0.31,0.69,0.0,0.4465867291889284
39627823505214328,0.0,0.98,0.02,0.0,0.07072027127091034
39627859710445758,0.0,0.18,0.82,0.0,0.34003852286413994
39627859710445713,0.0,0.24,0.76,0.0,0.39752013969226113
39627853691619187,0.0,0.29,0.71,0.0,0.43436062316970225
39627817461221337,0.0,0.23,0.77,0.0,0.38900565177326885
39627817461221310,0.0,0.91,0.09,0.0,0.21823490853205144
39627835568034348,0.0,0.53,0.47,0.0,0.4987007942838698
39627817461222612,0.0,0.3,0.7,0.0,0.44064544961534635
39627859735612081,0.0,0.31,0.69,0.0,0.4465867291889284
39627835568034580,0.0,0.18,0.82,0.0,0.34003852286413994
39627811392065098,0.0,0.94,0.06,0.0,0.16372245957723813
39627835568034893,0.0,0.02,0.98,0.0,0.07072027127091034
39627871777458184,0.0,0.85,0.15,0.0,0.3049201523582002
39627811392064990,0.0,0.82,0.18,0.0,0.34003852286413994
39627859739804762,0.0,0.75,0.25,0.0,0.4056390622295664
39627841599439369,0.0,0.64,0.36,0.0,0.4713415946277461
39627829536623607,0.0,0.18,0.82,0.0,0.34003852286413994
39627841599438978,0.0,0.4,0.6,0.0,0.4854752972273343
39627847635043727,0.0,0.6,0.4,0.0,0.4854752972273343
39627847635044018,0.0,0.43,0.57,0.0,0.4929075185894599
39627835547061576,0.0,0.01,0.98,0.01,0.08072027127091033
39627835547061487,0.0,0.05,0.95,0.0,0.14319847855797813
39627853674843768,0.0,0.26,0.74,0.0,0.4133731862463089
39627847626657113,0.0,0.0,1.0,0.0,-0.0
